"Wavelength (um)","Refractive index","Refractive index (calculated)","Extinction coefficient"
9.8949,1.56524,1.568516848,0.0193
9.971,1.56224,1.566511798,0.0166
10.048,1.55968,1.564472459,0.0141
10.127,1.55747,1.562019824,0.0132
10.207,1.55574,1.56026129,0.0137
10.288,1.55526,1.559609487,0.0147
10.37,1.55465,1.559682157,0.0144
10.453,1.55306,1.559032812,0.0123
10.538,1.55192,1.557276289,0.0115
10.625,1.55098,1.555715379,0.0121
10.713,1.54956,1.554305669,0.0119
10.802,1.54717,1.552490384,0.0127
10.893,1.54469,1.551578986,0.0162
10.985,1.54702,1.553701563,0.0204
11.079,1.55262,1.557405876,0.0196
11.174,1.5539,1.558828183,0.0133
11.272,1.55142,1.556388943,0.00886
11.37,1.54911,1.553460292,0.00835
11.471,1.5451,1.55086818,0.00818
11.573,1.54091,1.548393653,0.00804
11.678,1.53725,1.545827304,0.00907
11.784,1.53594,1.544484147,0.0113
11.892,1.5369,1.543950347,0.0116
12.002,1.53612,1.542509058,0.00975
12.114,1.53241,1.539707209,0.00856
12.229,1.52903,1.535779766,0.00748
12.345,1.52404,1.530423479,0.00654
12.464,1.51713,1.523778196,0.00822
12.585,1.50745,1.516068985,0.0104
12.708,1.49456,1.505813387,0.0147
12.834,1.48175,1.494832556,0.0289
12.962,1.47675,1.491678876,0.0572
13.093,1.49226,1.504046684,0.0891
13.227,1.52708,1.530288046,0.105
13.363,1.56176,1.556363234,0.0907
13.502,1.57437,1.564316723,0.0566
13.645,1.5576,1.549834021,0.0282
13.79,1.52389,1.51995738,0.0177
13.938,1.4675,1.470770689,0.0217
14.089,1.40602,1.439614474,0.132
14.244,1.51292,1.522129074,0.322
14.403,1.72776,1.673799153,0.29
14.564,1.75952,1.730058996,0.0905
14.73,1.67295,1.689194575,0.0167
14.899,1.64037,1.653556481,0.0173
15.072,1.62211,1.635794121,0.0128
15.25,1.61111,1.623082397,0.0118
15.431,1.60119,1.613739552,0.0106
15.617,1.59346,1.606166203,0.0113
15.808,1.58726,1.600238112,0.0122
16.003,1.58261,1.595835567,0.0142
16.203,1.58041,1.592525058,0.0154
16.408,1.57934,1.589675632,0.0167
16.618,1.57655,1.587615329,0.0186
16.834,1.57118,1.585720082,0.0189
17.056,1.56573,1.582121208,0.0182
17.283,1.56074,1.577998873,0.0227
17.517,1.55877,1.57642989,0.0308
17.757,1.55947,1.577773022,0.0377
18.003,1.56334,1.580663127,0.0445
18.257,1.57361,1.588461513,0.057
18.518,1.59413,1.604760305,0.0637
18.786,1.61088,1.61985488,0.0486
19.062,1.61181,1.622874437,0.0273
19.347,1.60843,1.618295107,0.0187
19.64,1.60549,1.61622182,0.0193
19.942,1.59856,1.618597701,0.0165
