"Wavelength (um)","Refractive index","Refractive index (calculated)","Extinction coefficient"
2.5072,1.52719,1.523290149,0.00339
2.5169,1.52674,1.523364071,0.00242
2.5268,1.52573,1.523087548,0.00234
2.5366,1.52486,1.522991352,0.0023
2.5466,1.5251,1.522717824,0.00205
2.5567,1.5261,1.522559011,0.00258
2.5668,1.52693,1.522702016,0.00271
2.577,1.52649,1.522628636,0.0024
2.5873,1.52591,1.522441001,0.00275
2.5976,1.52561,1.52264746,0.00339
2.6081,1.52494,1.523139934,0.00354
2.6186,1.52403,1.523464772,0.00289
2.6293,1.52353,1.52330396,0.00245
2.64,1.52412,1.522842976,0.00244
2.6454,1.52478,1.524167688,0.00255
2.6562,1.52626,1.522964169,0.00262
2.6671,1.52753,1.523019211,0.00265
2.6782,1.52708,1.523070627,0.00285
2.6893,1.5251,1.522936342,0.00274
2.6949,1.52441,1.524515523,0.00271
2.7061,1.52452,1.523340817,0.00262
2.7175,1.52536,1.523326429,0.00213
2.7289,1.52491,1.522864095,0.00194
2.7347,1.52457,1.523759709,0.00193
2.7462,1.52428,1.522539147,0.00209
2.7579,1.52457,1.522433158,0.00258
2.7697,1.52471,1.522183941,0.00276
2.7756,1.52482,1.52377037,0.00284
2.7876,1.52576,1.522514645,0.00324
2.7996,1.52614,1.522591152,0.00339
2.8057,1.52526,1.524617332,0.00322
2.8179,1.52326,1.522821285,0.00277
2.824,1.52308,1.524396104,0.00275
2.8364,1.52407,1.523010271,0.00272
2.8489,1.52515,1.522650636,0.00247
2.8551,1.52563,1.523923308,0.00251
2.8678,1.52557,1.522127127,0.00274
2.8741,1.52527,1.523718123,0.00309
2.8869,1.5249,1.522622133,0.00397
2.8998,1.52502,1.522945929,0.00391
2.9063,1.52483,1.525338041,0.0036
2.9194,1.52398,1.52336697,0.00304
2.926,1.52392,1.525047684,0.00282
2.9393,1.52529,1.52323587,0.00266
2.946,1.52567,1.524739097,0.00271
2.9594,1.52565,1.52316158,0.0025
2.9662,1.52519,1.524480796,0.00237
2.9798,1.52349,1.52271155,0.00222
2.9867,1.52322,1.523585264,0.00245
2.9936,1.52339,1.52361106,0.00285
3.0075,1.52414,1.522674231,0.00368
3.0145,1.52475,1.525134923,0.00339
3.0286,1.52537,1.523406173,0.0027
3.0357,1.52536,1.524965302,0.00263
3.0499,1.52543,1.523349433,0.00206
3.0571,1.52548,1.524136911,0.00183
3.0644,1.52529,1.523832141,0.00188
3.0789,1.5248,1.522648646,0.00234
3.0863,1.52469,1.523833488,0.00244
3.0936,1.52488,1.52391852,0.00237
3.1085,1.52509,1.522788136,0.00239
3.1159,1.52501,1.524102408,0.00228
3.1234,1.52501,1.523993616,0.0019
3.1386,1.52508,1.522660308,0.00158
3.1462,1.52477,1.523310675,0.00176
3.1538,1.52435,1.523271367,0.00174
3.1693,1.52397,1.522013335,0.0014
3.177,1.52397,1.522459724,0.00167
3.1848,1.52407,1.5222476,0.00191
3.1927,1.52405,1.522387023,0.00205
3.2085,1.52346,1.521282436,0.00214
3.2164,1.52328,1.522201177,0.00215
3.2244,1.5233,1.52195959,0.00249
3.2325,1.52324,1.522368579,0.00281
3.2487,1.52255,1.521203192,0.00206
3.2569,1.5224,1.521917883,0.00178
3.2651,1.52259,1.521412828,0.00189
3.2733,1.52275,1.521305086,0.00196
