"Wavenumber (cm-1)","Refractive index","Extinction coefficient"
7619.584192,1.553769946,4.83622E-05
7619.102062,1.553769946,4.84859E-05
7618.619932,1.553770065,4.85544E-05
7618.137803,1.553770065,4.85275E-05
7617.655673,1.553770185,4.84527E-05
7617.173543,1.553770185,4.83848E-05
7616.691413,1.553770065,4.83312E-05
7616.209283,1.553770065,4.8259E-05
7615.727153,1.553769946,4.81687E-05
7615.245023,1.553769946,4.81082E-05
7614.762894,1.553769708,4.81115E-05
7614.280764,1.553769588,4.81583E-05
7613.798634,1.553769588,4.8213E-05
7613.316504,1.553769469,4.82787E-05
7612.834374,1.55376935,4.84068E-05
7612.352244,1.55376935,4.86108E-05
7611.870114,1.55376935,4.88172E-05
7611.387985,1.553769588,4.89179E-05
7610.905855,1.553769827,4.88596E-05
7610.423725,1.553769946,4.86954E-05
7609.941595,1.553769946,4.85251E-05
7609.459465,1.553769946,4.83987E-05
7608.977335,1.553769708,4.83053E-05
7608.495205,1.553769708,4.82286E-05
7608.013076,1.553769469,4.81909E-05
7607.530946,1.55376935,4.8229E-05
7607.048816,1.553769231,4.83333E-05
7606.566686,1.553769231,4.84443E-05
7606.084556,1.553769231,4.85098E-05
7605.602426,1.55376935,4.8527E-05
7605.120296,1.553769231,4.85212E-05
7604.638167,1.55376935,4.84986E-05
7604.156037,1.55376935,4.84373E-05
7603.673907,1.55376935,4.834E-05
7603.191777,1.553769112,4.82523E-05
7602.709647,1.553768992,4.82421E-05
7602.227517,1.553768754,4.83333E-05
7601.745387,1.553768754,4.84864E-05
7601.263257,1.553768635,4.8643E-05
7600.781128,1.553768754,4.87757E-05
7600.298998,1.553768754,4.88843E-05
7599.816868,1.553768873,4.89632E-05
7599.334738,1.553768873,4.8981E-05
7598.852608,1.553769112,4.89078E-05
7598.370478,1.553768992,4.87684E-05
7597.888348,1.553768992,4.86425E-05
7597.406219,1.553768754,4.86174E-05
7596.924089,1.553768635,4.87175E-05
7596.441959,1.553768516,4.88855E-05
7595.959829,1.553768635,4.90265E-05
7595.477699,1.553768635,4.90741E-05
7594.995569,1.553768754,4.90542E-05
7594.513439,1.553768754,4.90462E-05
7594.03131,1.553768754,4.9093E-05
7593.54918,1.553768754,4.91588E-05
7593.06705,1.553768873,4.91674E-05
7592.58492,1.553768873,4.9103E-05
7592.10279,1.553768873,4.90378E-05
7591.62066,1.553768754,4.90463E-05
7591.13853,1.553768754,4.91035E-05
7590.656401,1.553768873,4.91035E-05
7590.174271,1.553768992,4.89851E-05
7589.692141,1.553768873,4.88264E-05
7589.210011,1.553768754,4.87692E-05
7588.727881,1.553768516,4.88707E-05
7588.245751,1.553768516,4.90323E-05
7587.763621,1.553768635,4.91084E-05
7587.281492,1.553768754,4.90511E-05
7586.799362,1.553768635,4.89413E-05
7586.317232,1.553768635,4.8876E-05
7585.835102,1.553768516,4.88842E-05
7585.352972,1.553768516,4.8927E-05
7584.870842,1.553768396,4.89625E-05
7584.388712,1.553768396,4.89752E-05
7583.906583,1.553768396,4.89571E-05
7583.424453,1.553768396,4.89184E-05
7582.942323,1.553768277,4.89061E-05
7582.460193,1.553768158,4.89804E-05
7581.978063,1.553768158,4.91359E-05
7581.495933,1.553768277,4.92568E-05
7581.013803,1.553768396,4.92099E-05
7580.531674,1.553768635,4.89972E-05
7580.049544,1.553768396,4.8775E-05
7579.567414,1.553768158,4.87259E-05
7579.085284,1.55376792,4.88862E-05
7578.603154,1.55376792,4.91245E-05
7578.121024,1.55376792,4.92863E-05
7577.638894,1.553768158,4.93088E-05
7577.156765,1.553768277,4.92262E-05
7576.674635,1.553768277,4.91037E-05
7576.192505,1.553768158,4.89866E-05
7575.710375,1.553768039,4.89187E-05
7575.228245,1.55376792,4.89285E-05
7574.746115,1.55376792,4.89988E-05
7574.263985,1.5537678,4.90721E-05
7573.781855,1.5537678,4.91004E-05
7573.299726,1.5537678,4.90989E-05
7572.817596,1.5537678,4.91094E-05
