Microplastics combined: 100 MP m-3
Mean net RF (W m-2):,-3.9991e-02
Mean Delta TOA up flux SW (W m-2):,2.8359e-01
Mean Delta TOA up flux LW (W m-2):,-2.4360e-01
Case,Pressure (Pa),Relative heating rate SW (K day-1),Relative downward diffuse flux SW (W m-2),Relative upward flux SW (W m-2),Relative heating rate LW (K day-1),Relative downward diffuse flux LW (W m-2),Relative upward flux LW (W m-2)
case3,17312,7.6711e-05,6.1054e-03,4.1402e-01,-5.3051e-04,0.0000e+00,-3.3798e-01
case3,20268,7.6652e-05,7.1583e-03,4.1534e-01,-5.1373e-04,0.0000e+00,-3.3984e-01
case3,23724,1.0377e-04,8.3923e-03,4.1689e-01,-6.2585e-04,0.0000e+00,-3.4198e-01
case3,27641,8.7142e-04,9.7923e-03,4.1876e-01,9.5844e-04,0.0000e+00,-3.4488e-01
case3,29788,8.6522e-04,7.7127e-02,4.0382e-01,7.0512e-04,1.8150e-02,-3.2428e-01
case3,32017,8.5688e-04,1.4644e-01,3.8828e-01,3.8671e-04,3.6701e-02,-3.0386e-01
case3,34396,8.4662e-04,2.1978e-01,3.7164e-01,9.3222e-05,5.6351e-02,-2.8311e-01
case3,36911,8.2278e-04,2.9649e-01,3.5399e-01,-5.6505e-05,7.6820e-02,-2.6236e-01
case3,39552,7.7665e-04,3.7593e-01,3.3543e-01,-6.5565e-05,9.7481e-02,-2.4191e-01
case3,42354,7.3588e-04,4.5876e-01,3.1578e-01,-8.6546e-05,1.1796e-01,-2.2165e-01
case3,45281,7.3171e-04,5.4367e-01,2.9532e-01,-2.1410e-04,1.3788e-01,-2.0200e-01
case3,48402,7.2336e-04,6.3255e-01,2.7350e-01,-2.6441e-04,1.5806e-01,-1.8262e-01
case3,51659,6.5768e-04,7.2345e-01,2.5075e-01,-1.9574e-04,1.7775e-01,-1.6394e-01
case3,55123,5.4944e-04,8.1803e-01,2.2653e-01,-1.2374e-04,1.9681e-01,-1.4569e-01
case3,58746,4.6718e-04,9.1488e-01,2.0122e-01,-7.0214e-05,2.1481e-01,-1.2823e-01
case3,62555,4.5037e-04,1.0148e+00,1.7456e-01,-2.7382e-04,2.3190e-01,-1.1145e-01
case3,66554,4.6313e-04,1.1184e+00,1.4638e-01,-8.4782e-04,2.4942e-01,-9.5245e-02
case3,70786,4.3678e-04,1.2274e+00,1.1623e-01,-8.7988e-04,2.6988e-01,-7.9041e-02
case3,75270,2.4271e-04,1.3403e+00,8.4061e-02,1.3204e-03,2.9091e-01,-6.2683e-02
case3,79992,-1.2994e-04,1.4468e+00,5.0369e-02,3.3205e-03,2.9892e-01,-4.7272e-02
case3,84997,-3.8099e-04,1.5461e+00,1.4450e-02,2.8607e-03,2.9300e-01,-3.3478e-02
case3,90242,-6.3443e-04,1.6496e+00,-2.4017e-02,3.1625e-03,2.8922e-01,-1.9470e-02
case3,92953,-8.3637e-04,1.7025e+00,-4.4479e-02,3.2816e-03,2.8604e-01,-1.2482e-02
case3,95725,-1.0045e-03,1.7564e+00,-6.5933e-02,3.3223e-03,2.8226e-01,-5.4626e-03
case3,97144,-1.2782e-03,1.7841e+00,-7.7194e-02,4.7760e-03,2.8033e-01,-1.7700e-03
case3,97778,0.0000e+00,1.7960e+00,-8.2367e-02,0.0000e+00,2.7853e-01,0.0000e+00
case4,10,4.7684e-06,0.0000e+00,1.6953e-01,-4.7684e-05,0.0000e+00,-2.0201e-01
case4,13,5.7220e-06,7.6834e-08,1.6956e-01,-6.3419e-05,0.0000e+00,-2.0201e-01
