Microplastics boundary layer: 100 MP m-3
Mean net RF (W m-2):,-3.1625e-02
Mean Delta TOA up flux SW (W m-2):,4.5526e-02
Mean Delta TOA up flux LW (W m-2):,-1.3901e-02
Case,Pressure (Pa),Relative heating rate SW (K day-1),Relative downward diffuse flux SW (W m-2),Relative upward flux SW (W m-2),Relative heating rate LW (K day-1),Relative downward diffuse flux LW (W m-2),Relative upward flux LW (W m-2)
case3,29,3.8147e-05,1.4100e-06,6.5857e-02,-6.6757e-06,0.0000e+00,-2.4353e-02
case3,37,4.3869e-05,1.9222e-06,6.5857e-02,-8.5831e-06,0.0000e+00,-2.4353e-02
case3,48,5.3406e-05,2.6301e-06,6.5857e-02,-1.0490e-05,0.0000e+00,-2.4353e-02
case3,62,6.1035e-05,3.5278e-06,6.5872e-02,-1.3351e-05,0.0000e+00,-2.4384e-02
case3,80,7.4387e-05,4.6864e-06,6.5857e-02,-1.5259e-05,0.0000e+00,-2.4353e-02
case3,102,8.9645e-05,6.0871e-06,6.5872e-02,-1.7166e-05,0.0000e+00,-2.4384e-02
case3,131,1.0872e-04,7.9498e-06,6.5872e-02,-1.9073e-05,0.0000e+00,-2.4384e-02
case3,169,1.3161e-04,1.0386e-05,6.5887e-02,-2.1935e-05,0.0000e+00,-2.4384e-02
case3,220,1.6403e-04,1.3649e-05,6.5887e-02,-2.7180e-05,0.0000e+00,-2.4384e-02
case3,287,2.0599e-04,1.7956e-05,6.5918e-02,-3.6240e-05,0.0000e+00,-2.4353e-02
case3,386,2.4796e-04,2.4289e-05,6.5948e-02,-4.7922e-05,0.0000e+00,-2.4384e-02
case3,505,2.7847e-04,3.1918e-05,6.5994e-02,-6.0320e-05,0.0000e+00,-2.4384e-02
case3,653,2.9373e-04,4.1425e-05,6.6055e-02,-7.3671e-05,0.0000e+00,-2.4384e-02
case3,866,2.9373e-04,5.5075e-05,6.6132e-02,-8.8692e-05,0.0000e+00,-2.4414e-02
case3,1197,2.8324e-04,7.6234e-05,6.6269e-02,-1.0264e-04,0.0000e+00,-2.4445e-02
case3,1502,2.6274e-04,9.5844e-05,6.6391e-02,-1.1230e-04,0.0000e+00,-2.4475e-02
case3,1880,2.2840e-04,1.2004e-04,6.6528e-02,-1.1671e-04,0.0000e+00,-2.4536e-02
case3,2361,1.8930e-04,1.5092e-04,6.6696e-02,-1.1766e-04,0.0000e+00,-2.4597e-02
case3,2972,1.4973e-04,1.9026e-04,6.6879e-02,-1.1587e-04,0.0000e+00,-2.4689e-02
case3,3745,1.0669e-04,2.4033e-04,6.7047e-02,-1.0526e-04,0.0000e+00,-2.4811e-02
case3,4729,6.6876e-05,3.0398e-04,6.7245e-02,-8.4788e-05,0.0000e+00,-2.4933e-02
