"lambda","Cabs","Csca","g"
1.14e-06,4.02051227086816e-11,1.90963459722442e-08,0.868966079782193
1.16e-06,4.23991043985132e-11,1.90941387790814e-08,0.869009625305786
1.18e-06,4.46884897148276e-11,1.90918758118013e-08,0.869052233722042
1.2e-06,4.70756586394515e-11,1.90894597482036e-08,0.869094257928357
1.22e-06,4.95628096892868e-11,1.90869915003244e-08,0.869135660109235
1.24e-06,5.21523629862344e-11,1.90843947699363e-08,0.869176524115043
1.26e-06,5.48465224870958e-11,1.90816952601483e-08,0.869217191845915
1.28e-06,5.76476175332185e-11,1.90789077857498e-08,0.869257559006956
1.3e-06,6.05578070990782e-11,1.90759806184006e-08,0.869297671455971
1.32e-06,6.35794610598995e-11,1.90729672900796e-08,0.869337340589025
1.34e-06,6.67146393841698e-11,1.90698315002313e-08,0.869377447516301
1.36e-06,6.99655710760533e-11,1.9066602744889e-08,0.869417089650962
1.38e-06,7.3334422900078e-11,1.9063223889127e-08,0.869456959672992
1.4e-06,7.68232610695578e-11,1.9059735510913e-08,0.869497032963045
1.42e-06,8.0434265278453e-11,1.9056104546934e-08,0.869536902219229
1.44e-06,8.41693532123976e-11,1.90523733843975e-08,0.869577454872784
1.46e-06,8.80306353800921e-11,1.90485227743878e-08,0.869618077481852
1.48e-06,9.20202046050986e-11,1.90445123748362e-08,0.869659078594609
1.5e-06,9.61396884849642e-11,1.90403949405063e-08,0.869700334441346
1.52e-06,1.00391077607775e-10,1.90361677657809e-08,0.869741937597475
1.54e-06,1.04776451876569e-10,1.90317715607963e-08,0.86978410507728
1.56e-06,1.09297293954472e-10,1.90272429356894e-08,0.869826745117582
1.58e-06,1.13955540701624e-10,1.90225818335999e-08,0.869870037340681
1.6e-06,1.1875311750634e-10,1.90177843043256e-08,0.869913843588958
1.62e-06,1.23691300468012e-10,1.90128574367006e-08,0.869957978468464
1.64e-06,1.28771719378249e-10,1.90077813878497e-08,0.870003500093932
