The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  348.03        253.88        117.13         65.53
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP  
    1016.0  0.0001177076  0.0001172939  0.0000009811  0.0000029296
    1017.0  0.0001139927  0.0001135914  0.0000009372  0.0000028489
    1018.0  0.0001114464  0.0001110536  0.0000009059  0.0000027969
    1019.0  0.0001099213  0.0001095333  0.0000008866  0.0000027698
    1020.0  0.0001090993  0.0001087138  0.0000008760  0.0000027599
    1021.0  0.0001085699  0.0001081857  0.0000008707  0.0000027567
    1022.0  0.0001077723  0.0001073906  0.0000008648  0.0000027460
    1023.0  0.0001062717  0.0001058949  0.0000008539  0.0000027167
    1024.0  0.0001037392  0.0001033709  0.0000008339  0.0000026605
    1025.0  0.0001001179  0.0000997620  0.0000008033  0.0000025758
    1026.0  0.0000956879  0.0000953470  0.0000007639  0.0000024700
    1027.0  0.0000909521  0.0000906273  0.0000007197  0.0000023561
    1028.0  0.0000866082  0.0000862984  0.0000006773  0.0000022522
    1029.0  0.0000832246  0.0000829262  0.0000006423  0.0000021731
    1030.0  0.0000811302  0.0000808387  0.0000006186  0.0000021274
    1031.0  0.0000802130  0.0000799244  0.0000006061  0.0000021120
    1032.0  0.0000800591  0.0000797706  0.0000006016  0.0000021160
    1033.0  0.0000800905  0.0000798017  0.0000006010  0.0000021242
    1034.0  0.0000799217  0.0000796333  0.0000006014  0.0000021270
    1035.0  0.0000796077  0.0000793202  0.0000006054  0.0000021262
    1036.0  0.0000797417  0.0000794533  0.0000006205  0.0000021382
    1037.0  0.0000814350  0.0000811400  0.0000006604  0.0000021936
    1038.0  0.0000858587  0.0000855471  0.0000007382  0.0000023242
    1039.0  0.0000938754  0.0000935341  0.0000008630  0.0000025534
    1040.0  0.0001053556  0.0001049720  0.0000010310  0.0000028776
    1041.0  0.0001190646  0.0001186305  0.0000012244  0.0000032626
    1042.0  0.0001325738  0.0001320901  0.0000014103  0.0000036418
    1043.0  0.0001430799  0.0001425574  0.0000015521  0.0000039379
    1044.0  0.0001480080  0.0001474673  0.0000016171  0.0000040801
    1045.0  0.0001460467  0.0001455128  0.0000015897  0.0000040321
    1046.0  0.0001373723  0.0001368697  0.0000014745  0.0000037986
    1047.0  0.0001236040  0.0001231513  0.0000012947  0.0000034239
    1048.0  0.0001072285  0.0001068353  0.0000010840  0.0000029767
    1049.0  0.0000907779  0.0000904445  0.0000008752  0.0000025270
    1050.0  0.0000763322  0.0000760512  0.0000006945  0.0000021323
    1051.0  0.0000651002  0.0000648600  0.0000005557  0.0000018264
    1052.0  0.0000575155  0.0000573027  0.0000004628  0.0000016218
