The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  773.07        675.04        173.55        132.34
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP  
    1187.0  0.0013368310  0.0013347350  0.0000062868  0.0000102286
    1188.0  0.0013499761  0.0013478560  0.0000063479  0.0000103292
    1189.0  0.0013903860  0.0013881969  0.0000065967  0.0000106384
    1190.0  0.0014470810  0.0014447960  0.0000069653  0.0000110722
    1191.0  0.0015055590  0.0015031740  0.0000073590  0.0000115196
    1192.0  0.0015525990  0.0015501330  0.0000076893  0.0000118795
    1193.0  0.0015789029  0.0015763910  0.0000078907  0.0000120808
    1194.0  0.0015827389  0.0015802170  0.0000079465  0.0000121101
    1195.0  0.0015688490  0.0015663470  0.0000078853  0.0000120039
    1196.0  0.0015482730  0.0015458020  0.0000077799  0.0000118464
    1197.0  0.0015340759  0.0015316251  0.0000077198  0.0000117378
    1198.0  0.0015374480  0.0015349870  0.0000077818  0.0000117636
    1199.0  0.0015634170  0.0015609070  0.0000080000  0.0000119623
    1200.0  0.0016088880  0.0016062970  0.0000083499  0.0000123102
    1201.0  0.0016637170  0.0016610280  0.0000087560  0.0000127297
    1202.0  0.0017137741  0.0017109980  0.0000091142  0.0000131127
    1203.0  0.0017457540  0.0017429220  0.0000093276  0.0000133574
    1204.0  0.0017493230  0.0017464840  0.0000093244  0.0000133847
    1205.0  0.0017198500  0.0017170600  0.0000090788  0.0000131592
    1206.0  0.0016568600  0.0016541760  0.0000085996  0.0000126773
    1207.0  0.0015649070  0.0015623800  0.0000079320  0.0000119737
    1208.0  0.0014523900  0.0014500520  0.0000071429  0.0000111128
    1209.0  0.0013314710  0.0013293350  0.0000063160  0.0000101876
    1210.0  0.0012170780  0.0012151350  0.0000055421  0.0000093123
    1211.0  0.0011228460  0.0011210589  0.0000048975  0.0000085913
    1212.0  0.0010587370  0.0010570580  0.0000044342  0.0000081008
    1213.0  0.0010259770  0.0010243530  0.0000041547  0.0000078501
    1214.0  0.0010188320  0.0010172219  0.0000040260  0.0000077955
