Flux units are Wm-2/cm-1   
    wavn(cm-1) flxtoa_up     flxsfc_dn
     512.5     0.3507828     0.4382356
     513.5     0.3569596     0.4378217
     514.5     0.3349322     0.4427594
     515.5     0.3269048     0.4432835
     516.5     0.2645592     0.4459021
     517.5     0.2549606     0.4464867
     518.5     0.3081388     0.4453536
     519.5     0.2629122     0.4467917
     520.5     0.3225039     0.4441811
     521.5     0.3522102     0.4407623
     522.5     0.3560328     0.4399980
     523.5     0.3500863     0.4411993
     524.5     0.3306576     0.4440367
     525.5     0.2675602     0.4475802
     526.5     0.2783253     0.4475898
     527.5     0.3386251     0.4436568
     528.5     0.3490660     0.4413713
     529.5     0.3624193     0.4385902
     530.5     0.3686177     0.4356161
     531.5     0.3701811     0.4346091
     532.5     0.3657944     0.4364689
     533.5     0.3637185     0.4375653
     534.5     0.3548067     0.4414035
     535.5     0.3385368     0.4432349
     536.5     0.2812523     0.4481552
     537.5     0.3592580     0.4399579
     538.5     0.3690830     0.4355839
     539.5     0.3651346     0.4377596
     540.5     0.3451741     0.4414600
     541.5     0.3218746     0.4437826
     542.5     0.3659694     0.4368965
     543.5     0.3624336     0.4390214
     544.5     0.3240127     0.4456167
     545.5     0.2655983     0.4501821
     546.5     0.2724162     0.4499530
     547.5     0.3061127     0.4488562
     548.5     0.3454441     0.4452802
     549.5     0.3266689     0.4469677
     550.5     0.3193480     0.4479363
     551.5     0.3681459     0.4375907
     552.5     0.3554802     0.4398093
     553.5     0.3663705     0.4374677
     554.5     0.2941956     0.4489588
     555.5     0.3580148     0.4401079
     556.5     0.3695170     0.4346024
     557.5     0.3475884     0.4422200
     558.5     0.3735962     0.4297789
     559.5     0.3730782     0.4288423
     560.5     0.3718693     0.4322993
     561.5     0.3748992     0.4285545
     562.5     0.3504286     0.4392080
     563.5     0.2969602     0.4473959
     564.5     0.3587216     0.4387636
     565.5     0.3598157     0.4379314
     566.5     0.3230263     0.4468551
     567.5     0.2667664     0.4508390
     568.5     0.3166114     0.4485917
     569.5     0.2645549     0.4512705
     570.5     0.3424238     0.4452644
     571.5     0.3227574     0.4474536
     572.5     0.3547563     0.4358419
     573.5     0.3571157     0.4346918
     574.5     0.3406610     0.4419581
     575.5     0.3068804     0.4493557
     576.5     0.2748324     0.4509175
     577.5     0.3295283     0.4427630
     578.5     0.3497615     0.4379993
     579.5     0.3216342     0.4426222
     580.5     0.2607184     0.4516155
     581.5     0.2974003     0.4479313
     582.5     0.3163773     0.4402086
     583.5     0.3539204     0.4360183
     584.5     0.2771577     0.4495393
     585.5     0.3113913     0.4422365
     586.5     0.3478534     0.4325331
     587.5     0.3116728     0.4322988
     588.5     0.2929227     0.4327455
     589.5     0.2390844     0.4382330
     590.5     0.2772440     0.4446737
     591.5     0.2409100     0.4513433
     592.5     0.2701629     0.4493509
     593.5     0.2730137     0.4435490
     594.5     0.2870970     0.4460851
     595.5     0.2568245     0.4442426
     596.5     0.2344314     0.4404754
     597.5     0.2685634     0.4372503
     598.5     0.2545654     0.4391684
     599.5     0.2740123     0.4439241
     600.5     0.2710718     0.4469865
     601.5     0.2430365     0.4393327
     602.5     0.2918558     0.4293089
     603.5     0.2563895     0.4365876
     604.5     0.2264963     0.4459702
     605.5     0.2885050     0.4292491
     606.5     0.2398578     0.4338029
     607.5     0.2303274     0.4336565
     608.5     0.2725390     0.4307968
     609.5     0.2329142     0.4352938
     610.5     0.2534854     0.4325498
     611.5     0.2550959     0.4306054
     612.5     0.2245192     0.4407084
     613.5     0.2594571     0.4381637
     614.5     0.2297238     0.4406914
     615.5     0.2236837     0.4449846
     616.5     0.1700122     0.4481846
     617.5     0.1842397     0.4490660
     618.5     0.2215304     0.4378179
     619.5     0.2335369     0.4361021
     620.5     0.2437232     0.4440244
     621.5     0.2606833     0.4312288
     622.5     0.1924229     0.4378482
     623.5     0.2307370     0.4349453
     624.5     0.2117334     0.4429338
     625.5     0.1663488     0.4472981
     626.5     0.1931471     0.4434653
     627.5     0.1830156     0.4399030
     628.5     0.1698575     0.4399941
     629.5     0.1701671     0.4409039
     630.5     0.1625520     0.4414746
     631.5     0.1645798     0.4403763
     632.5     0.1546195     0.4448184
     633.5     0.1566301     0.4454748
     634.5     0.1554404     0.4421516
     635.5     0.1511733     0.4454859
     636.5     0.1533371     0.4437048
     637.5     0.1470115     0.4431831
     638.5     0.1508614     0.4443456
     639.5     0.1518708     0.4435540
     640.5     0.1444898     0.4425310
     641.5     0.1506427     0.4437423
     642.5     0.1512585     0.4436462
     643.5     0.1440524     0.4421983
     644.5     0.1543246     0.4440570
